"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"2847","109.226745354","10.10.3.105","10.10.3.102","MPTCP","80","46608  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2008474762 TSecr=0 WS=128","","","","",""
"2848","109.226805551","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  46608 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039601458 TSecr=2008474762 WS=128","0.000060197","","","",""
"2849","109.227359860","10.10.3.105","10.10.3.102","MPTCP","88","46608  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2008474763 TSecr=1039601458","0.000554309","","","",""
"2850","109.227360455","10.10.3.105","10.10.3.102","MPTCP","129","46608  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2008474763 TSecr=1039601458","","","","",""
"2851","109.227507575","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  46608 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1039601459 TSecr=2008474763","0.000147120","","","",""
"2852","109.227627399","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  46608 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1039601459 TSecr=2008474763","","","","",""
"2853","109.227704932","10.10.3.102","10.10.3.105","MPTCP","84","[TCP Dup ACK 2851#1] 5201  >  46608 [ACK] Seq=2 Ack=38 Win=65152 Len=0 TSval=1039601459 TSecr=2008474763","","","â\234\223","","â\234\223"
"2854","109.227716677","10.10.3.105","10.10.3.102","MPTCP","80","46608  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2008474764 TSecr=1039601459","0.000089278","","","",""
"2855","109.227789682","10.10.3.105","10.10.3.102","MPTCP","76","[TCP Dup ACK 2854#1] 46608  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2008474764 TSecr=1039601459","","","â\234\223","","â\234\223"
"2856","109.227950814","10.10.3.105","10.10.3.102","MPTCP","100","46608  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2008474764 TSecr=1039601459","","","","",""
"2857","109.228711099","10.10.3.105","10.10.3.59","MPTCP","88","34345  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=937730096 TSecr=0 WS=128","","","","",""
"2858","109.228763215","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  34345 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1399709838 TSecr=937730096 WS=128","0.000052116","","","",""
"2859","109.228916104","10.10.3.62","10.10.3.102","MPTCP","88","55995  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3345641969 TSecr=0 WS=128","","","","",""
"2860","109.228971445","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  55995 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2492419741 TSecr=3345641969 WS=128","0.000055341","","","",""
"2861","109.230228751","10.10.3.105","10.10.3.59","MPTCP","92","34345  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=937730097 TSecr=1399709838","0.001465536","","","",""
"2862","109.230340621","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Window Update] 5201  >  34345 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1399709840 TSecr=937730097","","","","","â\234\223"
