"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"376","14.071895489","10.10.3.105","10.10.3.102","MPTCP","80","49134  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2008818059 TSecr=0 WS=128","","","","",""
"377","14.071919589","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  49134 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039944755 TSecr=2008818059 WS=128","0.000024100","","","",""
"378","14.072004552","10.10.3.105","10.10.3.102","MPTCP","88","49134  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2008818059 TSecr=1039944755","0.000084963","","","",""
"379","14.072065347","10.10.3.105","10.10.3.102","MPTCP","129","49134  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2008818059 TSecr=1039944755","","","","",""
"380","14.072075444","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  49134 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1039944755 TSecr=2008818059","0.000010097","","","",""
"381","14.072128183","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  49134 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1039944755 TSecr=2008818059","","","","",""
"382","14.072184144","10.10.3.105","10.10.3.102","MPTCP","80","49134  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2008818059 TSecr=1039944755","0.000055961","","","",""
"383","14.072227844","10.10.3.105","10.10.3.102","MPTCP","100","49134  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2008818059 TSecr=1039944755","","","","",""
"384","14.072403779","10.10.3.102","10.10.3.105","MPTCP","84","5201  >  49134 [ACK] Seq=2 Ack=42 Win=65152 Len=0 TSval=1039944755 TSecr=2008818059","0.000175935","","","",""
"385","14.072492792","10.10.3.105","10.10.3.102","MPTCP","196","49134  >  5201 [PSH, ACK] Seq=42 Ack=2 Win=64256 Len=100 TSval=2008818059 TSecr=1039944755","","","","",""
"386","14.072556992","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  49134 [PSH, ACK] Seq=2 Ack=142 Win=65152 Len=1 TSval=1039944756 TSecr=2008818059","0.000064200","","","",""
"388","14.072954303","10.10.3.105","10.10.3.102","MPTCP","80","49142  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2008818060 TSecr=0 WS=128","","","","",""
"389","14.072973623","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  49142 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039944756 TSecr=2008818060 WS=128","0.000019320","","","",""
"390","14.073027543","10.10.3.105","10.10.3.102","MPTCP","88","49142  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2008818060 TSecr=1039944756","0.000053920","","","",""
"391","14.073070270","10.10.3.102","10.10.3.105","MPTCP","84","[TCP Window Update] 5201  >  49142 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1039944756 TSecr=2008818060","","","","","â\234\223"
"392","14.073095171","10.10.3.105","10.10.3.102","MPTCP","129","49142  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2008818060 TSecr=1039944756","","","","",""
"393","14.073102194","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  49142 [ACK] Seq=1 Ack=38 Win=65280 Len=0 TSval=1039944756 TSecr=2008818060","0.000007023","","","",""
"394","14.073425251","10.10.3.105","10.10.3.102","MPTCP","76","49134  >  5201 [ACK] Seq=142 Ack=3 Win=64256 Len=0 TSval=2008818060 TSecr=1039944756","0.000868259","","","",""
"395","14.073516328","10.10.3.105","10.10.3.102","MPTCP","76","49142  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=0 TSval=2008818060 TSecr=1039944756","","","","",""
"397","14.073790357","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  49134 [PSH, ACK] Seq=3 Ack=142 Win=65152 Len=1 TSval=1039944757 TSecr=2008818060","","","","",""
"403","14.075546489","10.10.3.62","10.10.3.102","MPTCP","88","43467  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3345985266 TSecr=0 WS=128","","","","",""
"404","14.075558540","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  43467 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2492763040 TSecr=3345985266 WS=128","0.000012051","","","",""
