"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"3694","106.144114250","10.10.3.105","10.10.3.102","MPTCP","80","38840  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2008763539 TSecr=0 WS=128","","","","",""
"3695","106.144170375","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  38840 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039890235 TSecr=2008763539 WS=128","0.000056125","","","",""
"3696","106.144719410","10.10.3.105","10.10.3.102","MPTCP","88","38840  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2008763539 TSecr=1039890235","0.000549035","","","",""
"3697","106.144720012","10.10.3.105","10.10.3.102","MPTCP","129","38840  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2008763540 TSecr=1039890235","","","","",""
"3698","106.144860342","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  38840 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1039890236 TSecr=2008763540","0.000140330","","","",""
"3699","106.144982338","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  38840 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1039890236 TSecr=2008763540","","","","",""
"3700","106.145064102","10.10.3.102","10.10.3.105","MPTCP","84","[TCP Dup ACK 3698#1] 5201  >  38840 [ACK] Seq=2 Ack=38 Win=65152 Len=0 TSval=1039890236 TSecr=2008763540","","","â\234\223","","â\234\223"
"3701","106.145076591","10.10.3.105","10.10.3.102","MPTCP","80","38840  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2008763540 TSecr=1039890236","0.000094253","","","",""
"3702","106.145177235","10.10.3.105","10.10.3.102","MPTCP","76","[TCP Dup ACK 3701#1] 38840  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2008763540 TSecr=1039890236","","","â\234\223","","â\234\223"
"3703","106.145280321","10.10.3.105","10.10.3.102","MPTCP","100","38840  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2008763540 TSecr=1039890236","","","","",""
"3704","106.185815678","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  38840 [ACK] Seq=2 Ack=42 Win=65152 Len=0 TSval=1039890277 TSecr=2008763540","0.040535357","","","",""
"3705","106.186077272","10.10.3.105","10.10.3.102","MPTCP","196","38840  >  5201 [PSH, ACK] Seq=42 Ack=2 Win=64256 Len=100 TSval=2008763581 TSecr=1039890277","","","","",""
"3706","106.186137165","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  38840 [ACK] Seq=2 Ack=142 Win=65152 Len=0 TSval=1039890277 TSecr=2008763581","0.000059893","","","",""
"3707","106.186270597","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  38840 [PSH, ACK] Seq=2 Ack=142 Win=65152 Len=1 TSval=1039890277 TSecr=2008763581","","","","",""
"3708","106.186497045","10.10.3.105","10.10.3.102","MPTCP","80","38842  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2008763581 TSecr=0 WS=128","","","","",""
"3709","106.186546852","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  38842 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039890277 TSecr=2008763581 WS=128","0.000049807","","","",""
"3710","106.186651403","10.10.3.105","10.10.3.102","MPTCP","88","38842  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2008763582 TSecr=1039890277","0.000104551","","","",""
"3711","106.186651778","10.10.3.105","10.10.3.102","MPTCP","129","38842  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2008763582 TSecr=1039890277","","","","",""
"3712","106.186763434","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  38842 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1039890278 TSecr=2008763582","0.000111656","","","",""
"3714","106.186981966","10.10.3.102","10.10.3.105","MPTCP","84","5201  >  38842 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1039890278 TSecr=2008763582","","","","",""
"3715","106.187078810","10.10.3.105","10.10.3.102","MPTCP","76","38842  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=0 TSval=2008763582 TSecr=1039890278","","","","",""
"3716","106.189169089","10.10.3.62","10.10.3.102","MPTCP","88","38527  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3345930745 TSecr=0 WS=128","","","","",""
"3717","106.189225181","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  38527 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2492708561 TSecr=3345930745 WS=128","0.000056092","","","",""
"3718","106.189321210","10.10.3.62","10.10.3.102","MPTCP","88","52483  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3345930787 TSecr=0 WS=128","","","","",""
"3719","106.189348603","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  52483 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2492708561 TSecr=3345930787 WS=128","0.000027393","","","",""
"3721","106.190424255","10.10.3.105","10.10.3.59","MPTCP","88","44427  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=938018872 TSecr=0 WS=128","","","","",""
"3722","106.190494780","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  44427 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1399998659 TSecr=938018872 WS=128","0.000070525","","","",""
"3723","106.195775555","10.10.3.105","10.10.3.59","MPTCP","88","59721  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=938018914 TSecr=0 WS=128","","","","",""
"3724","106.195843048","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  59721 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1399998665 TSecr=938018914 WS=128","0.000067493","","","",""
"3725","106.200060610","10.10.3.105","10.10.3.59","MPTCP","92","44427  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=938018921 TSecr=1399998659","0.009565830","","","",""
"3726","106.200192017","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Window Update] 5201  >  44427 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1399998669 TSecr=938018921","","","","","â\234\223"
"3727","106.201778994","10.10.3.105","10.10.3.59","MPTCP","92","59721  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=938018923 TSecr=1399998665","0.005935946","","","",""
"3728","106.201881325","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Window Update] 5201  >  59721 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1399998671 TSecr=938018923","","","","","â\234\223"
"3729","106.223940802","10.10.3.105","10.10.3.59","MPTCP","92","[TCP Dup ACK 3727#1] 59721  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=938018945 TSecr=1399998665","","","â\234\223","","â\234\223"
"3730","106.223972148","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Dup ACK 3724#1] 5201  >  59721 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1399998693 TSecr=938018945","","","â\234\223","","â\234\223"
"3731","106.233603050","10.10.3.105","10.10.3.102","MPTCP","80","38840  >  5201 [ACK] Seq=142 Ack=3 Win=64256 Len=0 TSval=2008763629 TSecr=1039890277","0.047332453","","","",""
"3732","106.233652796","10.10.3.102","10.10.3.105","MPTCP","98","5201  >  38840 [PSH, ACK] Seq=3 Ack=142 Win=65280 Len=2 TSval=1039890325 TSecr=2008763629","","","","",""
"3733","106.233757468","10.10.3.105","10.10.3.102","MPTCP","80","38840  >  5201 [ACK] Seq=142 Ack=5 Win=64256 Len=0 TSval=2008763629 TSecr=1039890325","0.000104672","","","",""
"3734","106.233852270","10.10.3.105","10.10.3.102","MPTCP","1516","38842  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=1424 TSval=2008763629 TSecr=1039890278","","","","",""
"3735","106.233873964","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  38842 [ACK] Seq=1 Ack=1462 Win=64128 Len=0 TSval=1039890325 TSecr=2008763629","0.000021694","","","",""
"3736","106.242973898","10.10.3.105","10.10.3.102","MPTCP","1516","38842  >  5201 [ACK] Seq=1462 Ack=1 Win=64256 Len=1424 TSval=2008763629 TSecr=1039890278","","","","",""
"3737","106.243027459","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  38842 [ACK] Seq=1 Ack=2886 Win=64128 Len=0 TSval=1039890334 TSecr=2008763629","0.000053561","","","",""
"3738","106.254942212","10.10.3.105","10.10.3.102","MPTCP","1516","38842  >  5201 [ACK] Seq=2886 Ack=1 Win=64256 Len=1424 TSval=2008763629 TSecr=1039890278","","","","",""
"3739","106.254980180","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  38842 [ACK] Seq=1 Ack=4310 Win=64128 Len=0 TSval=1039890346 TSecr=2008763629","0.000037968","","","",""
"3740","106.267069022","10.10.3.105","10.10.3.102","MPTCP","1516","38842  >  5201 [ACK] Seq=4310 Ack=1 Win=64256 Len=1424 TSval=2008763629 TSecr=1039890278","","","","",""
"3741","106.267109362","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  38842 [ACK] Seq=1 Ack=5734 Win=64128 Len=0 TSval=1039890358 TSecr=2008763629","0.000040340","","","",""
"3742","106.279509412","10.10.3.105","10.10.3.102","MPTCP","1516","38842  >  5201 [PSH, ACK] Seq=5734 Ack=1 Win=64256 Len=1424 TSval=2008763629 TSecr=1039890278","","","","",""
