"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"1463","24.837515093","10.10.3.105","10.10.3.102","MPTCP","80","35064  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2009104771 TSecr=0 WS=128","","","","",""
"1465","25.037797732","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  35064 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1040231468 TSecr=2009104771 WS=128","0.200282639","","","",""
"1466","25.038384922","10.10.3.105","10.10.3.102","MPTCP","88","35064  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2009104972 TSecr=1040231468","0.000587190","","","",""
"1467","25.038385515","10.10.3.105","10.10.3.102","MPTCP","129","35064  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2009104972 TSecr=1040231468","","","","",""
"1470","25.238602697","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  35064 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1040231669 TSecr=2009104972","0.200217182","","","",""
"1471","25.238612656","10.10.3.102","10.10.3.105","MPTCP","84","5201  >  35064 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1040231669 TSecr=2009104972","","","","",""
"1472","25.238655156","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  35064 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1040231669 TSecr=2009104972","","","","",""
"1473","25.238937967","10.10.3.105","10.10.3.102","MPTCP","76","35064  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2009105173 TSecr=1040231669","0.000282811","","","",""
"1474","25.238938612","10.10.3.105","10.10.3.102","MPTCP","80","[TCP Dup ACK 1473#1] 35064  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2009105173 TSecr=1040231669","","","â\234\223","","â\234\223"
"1475","25.239068936","10.10.3.105","10.10.3.102","MPTCP","100","35064  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2009105173 TSecr=1040231669","","","","",""
"1476","25.241139857","10.10.3.105","10.10.3.59","MPTCP","88","56247  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=938360505 TSecr=0 WS=128","","","","",""
"1477","25.241195539","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  56247 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1400340250 TSecr=938360505 WS=128","0.000055682","","","",""
"1478","25.242152848","10.10.3.62","10.10.3.102","MPTCP","88","42201  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3346272378 TSecr=0 WS=128","","","","",""
"1479","25.243878157","10.10.3.105","10.10.3.59","MPTCP","92","56247  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=938360509 TSecr=1400340250","0.002682618","","","",""
"1480","25.243991537","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Window Update] 5201  >  56247 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1400340253 TSecr=938360509","","","","","â\234\223"
"1482","25.442279466","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  42201 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2493050154 TSecr=3346272378 WS=128","0.200126618","","","",""
"1484","25.481987646","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  35064 [ACK] Seq=2 Ack=42 Win=65280 Len=0 TSval=1040231913 TSecr=2009105173","0.242918710","","","",""
"1485","25.482571677","10.10.3.105","10.10.3.102","MPTCP","196","35064  >  5201 [PSH, ACK] Seq=42 Ack=2 Win=64256 Len=100 TSval=2009105416 TSecr=1040231913","","","","",""
"1486","25.682628599","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  35064 [ACK] Seq=2 Ack=142 Win=65280 Len=0 TSval=1040232113 TSecr=2009105416","0.200056922","","","",""
"1487","25.682757870","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  35064 [PSH, ACK] Seq=2 Ack=142 Win=65280 Len=1 TSval=1040232114 TSecr=2009105416","","","","",""
"1488","25.683089110","10.10.3.105","10.10.3.102","MPTCP","80","35070  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2009105617 TSecr=0 WS=128","","","","",""
"1490","25.685758471","10.10.3.59","10.10.3.105","MPTCP","97","5201  >  56247 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=1 TSval=1400340695 TSecr=938360509","","","","",""
"1491","25.690602999","10.10.3.105","10.10.3.59","MPTCP","80","56247  >  5201 [ACK] Seq=1 Ack=2 Win=64256 Len=0 TSval=938360955 TSecr=1400340695","0.004844528","","","",""
"1493","25.727234583","10.10.3.105","10.10.3.102","MPTCP","80","35064  >  5201 [ACK] Seq=142 Ack=3 Win=64256 Len=0 TSval=2009105661 TSecr=1040232114","0.044476713","","","",""
"1494","25.883165464","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  35070 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1040232314 TSecr=2009105617 WS=128","0.200076354","","","",""
"1495","25.883584901","10.10.3.105","10.10.3.102","MPTCP","88","35070  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2009105817 TSecr=1040232314","0.000419437","","","",""
"1496","25.883585560","10.10.3.105","10.10.3.102","MPTCP","129","35070  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2009105817 TSecr=1040232314","","","","",""
"1561","26.083806950","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  35070 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1040232514 TSecr=2009105817","0.200221390","","","",""
"1562","26.083886453","10.10.3.102","10.10.3.105","MPTCP","84","5201  >  35070 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1040232514 TSecr=2009105817","","","","",""
"1563","26.084130292","10.10.3.105","10.10.3.102","MPTCP","76","35070  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=0 TSval=2009106018 TSecr=1040232514","","","","",""
"1564","26.085446668","10.10.3.62","10.10.3.102","MPTCP","88","43617  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3346273223 TSecr=0 WS=128","","","","",""
"1565","26.085527480","10.10.3.105","10.10.3.59","MPTCP","88","56709  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=938361350 TSecr=0 WS=128","","","","",""
"1566","26.085540888","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  56709 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1400341094 TSecr=938361350 WS=128","0.000013408","","","",""
"1567","26.085745940","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  35064 [PSH, ACK] Seq=3 Ack=142 Win=65280 Len=1 TSval=1040232516 TSecr=2009105661","","","","",""
"1568","26.085843445","10.10.3.105","10.10.3.102","MPTCP","80","35064  >  5201 [ACK] Seq=142 Ack=4 Win=64256 Len=0 TSval=2009106020 TSecr=1040232516","0.000097505","","","",""
"1570","26.094945154","10.10.3.105","10.10.3.59","MPTCP","92","56709  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=938361353 TSecr=1400341094","0.009404266","","","",""
"1571","26.094988290","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Window Update] 5201  >  56709 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1400341104 TSecr=938361353","","","","","â\234\223"
"1572","26.101193348","10.10.3.105","10.10.3.59","MPTCP","92","[TCP Dup ACK 1570#1] 56709  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=938361365 TSecr=1400341094","","","â\234\223","","â\234\223"
"1573","26.101207446","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Dup ACK 1566#1] 5201  >  56709 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1400341110 TSecr=938361365","","","â\234\223","","â\234\223"
"1582","26.271371285","10.10.3.62","10.10.3.102","MPTCP","88","[TCP Retransmission] [TCP Port numbers reused] 42201  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3346273410 TSecr=0 WS=128","","","","â\234\223","â\234\223"
"1590","26.285720012","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  43617 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2493050997 TSecr=3346273223 WS=128","0.200273344","","","",""
"1591","26.285863691","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  35064 [PSH, ACK] Seq=4 Ack=142 Win=65280 Len=1 TSval=1040232717 TSecr=2009106020","","","","",""
"1592","26.286016165","10.10.3.105","10.10.3.102","MPTCP","80","35064  >  5201 [ACK] Seq=142 Ack=5 Win=64256 Len=0 TSval=2009106220 TSecr=1040232717","0.000152474","","","",""
"1593","26.286094423","10.10.3.105","10.10.3.102","MPTCP","2940","35070  >  5201 [PSH, ACK] Seq=38 Ack=1 Win=64256 Len=2848 TSval=2009106220 TSecr=1040232514","","","","",""
"1594","26.286094597","10.10.3.105","10.10.3.102","MPTCP","2940","35070  >  5201 [PSH, ACK] Seq=2886 Ack=1 Win=64256 Len=2848 TSval=2009106220 TSecr=1040232514","","","","",""
"1595","26.286094709","10.10.3.105","10.10.3.102","MPTCP","2940","35070  >  5201 [PSH, ACK] Seq=5734 Ack=1 Win=64256 Len=2848 TSval=2009106220 TSecr=1040232514","","","","",""
"1596","26.286177194","10.10.3.105","10.10.3.102","MPTCP","2940","35070  >  5201 [PSH, ACK] Seq=8582 Ack=1 Win=64256 Len=2848 TSval=2009106220 TSecr=1040232514","","","","",""
"1597","26.286256099","10.10.3.105","10.10.3.102","MPTCP","2940","35070  >  5201 [PSH, ACK] Seq=11430 Ack=1 Win=64256 Len=2848 TSval=2009106220 TSecr=1040232514","","","","",""
"1609","26.471638473","10.10.3.102","10.10.3.62","MPTCP","92","[TCP Retransmission] 5201  >  42201 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2493051183 TSecr=3346272378 WS=128","0.200267188","","","â\234\223","â\234\223"
"1613","26.486178297","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  35070 [ACK] Seq=1 Ack=2886 Win=63488 Len=0 TSval=1040232917 TSecr=2009106220","0.200083874","","","",""
"1614","26.486185177","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  35070 [ACK] Seq=1 Ack=5734 Win=61440 Len=0 TSval=1040232917 TSecr=2009106220","0.200090580","","","",""
"1615","26.486186807","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  35070 [ACK] Seq=1 Ack=8582 Win=59392 Len=0 TSval=1040232917 TSecr=2009106220","0.200092098","","","",""
"1616","26.486194621","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  35070 [ACK] Seq=1 Ack=11430 Win=57344 Len=0 TSval=1040232917 TSecr=2009106220","0.200017427","","","",""
"1617","26.486272599","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  35070 [ACK] Seq=1 Ack=14278 Win=63488 Len=0 TSval=1040232917 TSecr=2009106220","0.200016500","","","",""
"1618","26.486793533","10.10.3.105","10.10.3.102","MPTCP","2940","35070  >  5201 [PSH, ACK] Seq=14278 Ack=1 Win=64256 Len=2848 TSval=2009106420 TSecr=1040232917","","","","",""
