"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"8","1.308631717","10.10.3.105","10.10.3.102","MPTCP","80","46094  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2009618084 TSecr=0 WS=128","","","","",""
"9","1.308686773","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  46094 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1040744782 TSecr=2009618084 WS=128","0.000055056","","","",""
"10","1.308995503","10.10.3.105","10.10.3.102","MPTCP","88","46094  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2009618084 TSecr=1040744782","0.000308730","","","",""
"11","1.308996163","10.10.3.105","10.10.3.102","MPTCP","129","46094  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2009618084 TSecr=1040744782","","","","",""
"12","1.309152699","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  46094 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1040744783 TSecr=2009618084","0.000156536","","","",""
"13","1.309283082","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  46094 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1040744783 TSecr=2009618084","","","","",""
"14","1.309374921","10.10.3.102","10.10.3.105","MPTCP","84","[TCP Dup ACK 12#1] 5201  >  46094 [ACK] Seq=2 Ack=38 Win=65152 Len=0 TSval=1040744783 TSecr=2009618084","","","â\234\223","","â\234\223"
"15","1.309411635","10.10.3.105","10.10.3.102","MPTCP","80","46094  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2009618085 TSecr=1040744783","0.000128553","","","",""
"16","1.309463567","10.10.3.105","10.10.3.102","MPTCP","76","[TCP Dup ACK 15#1] 46094  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2009618085 TSecr=1040744783","","","â\234\223","","â\234\223"
"17","1.309538246","10.10.3.105","10.10.3.102","MPTCP","100","46094  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2009618085 TSecr=1040744783","","","","",""
"18","1.310078716","10.10.3.105","10.10.3.59","MPTCP","88","42475  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=938873417 TSecr=0 WS=128","","","","",""
"19","1.310139222","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  42475 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1400853162 TSecr=938873417 WS=128","0.000060506","","","",""
"20","1.354928100","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  46094 [ACK] Seq=2 Ack=42 Win=65152 Len=0 TSval=1040744829 TSecr=2009618085","0.045389854","","","",""
"21","1.355148347","10.10.3.105","10.10.3.102","MPTCP","196","46094  >  5201 [PSH, ACK] Seq=42 Ack=2 Win=64256 Len=100 TSval=2009618130 TSecr=1040744829","","","","",""
"22","1.355193613","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  46094 [ACK] Seq=2 Ack=142 Win=65152 Len=0 TSval=1040744829 TSecr=2009618130","0.000045266","","","",""
"23","1.355253247","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  46094 [PSH, ACK] Seq=2 Ack=142 Win=65152 Len=1 TSval=1040744829 TSecr=2009618130","","","","",""
"24","1.355473816","10.10.3.105","10.10.3.102","MPTCP","80","46102  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2009618131 TSecr=0 WS=128","","","","",""
"25","1.355495628","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  46102 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1040744829 TSecr=2009618131 WS=128","0.000021812","","","",""
"27","1.355587450","10.10.3.105","10.10.3.102","MPTCP","88","46102  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2009618131 TSecr=1040744829","0.000091822","","","",""
"28","1.355651522","10.10.3.105","10.10.3.102","MPTCP","129","46102  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2009618131 TSecr=1040744829","","","","",""
"29","1.355665591","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  46102 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1040744829 TSecr=2009618131","0.000014069","","","",""
"30","1.356048390","10.10.3.102","10.10.3.105","MPTCP","84","5201  >  46102 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1040744829 TSecr=2009618131","","","","",""
"31","1.356144415","10.10.3.105","10.10.3.102","MPTCP","76","46102  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=0 TSval=2009618131 TSecr=1040744829","","","","",""
"33","1.358478181","10.10.3.105","10.10.3.59","MPTCP","88","41489  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=938873463 TSecr=0 WS=128","","","","",""
"34","1.358498627","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  41489 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1400853210 TSecr=938873463 WS=128","0.000020446","","","",""
"35","1.397408421","10.10.3.105","10.10.3.102","MPTCP","80","46094  >  5201 [ACK] Seq=142 Ack=3 Win=64256 Len=0 TSval=2009618173 TSecr=1040744829","0.042155174","","","",""
"36","1.397457466","10.10.3.102","10.10.3.105","MPTCP","98","5201  >  46094 [PSH, ACK] Seq=3 Ack=142 Win=65152 Len=2 TSval=1040744871 TSecr=2009618173","","","","",""
"37","1.397557334","10.10.3.105","10.10.3.102","MPTCP","80","46094  >  5201 [ACK] Seq=142 Ack=5 Win=64256 Len=0 TSval=2009618173 TSecr=1040744871","0.000099868","","","",""
"38","1.397669126","10.10.3.105","10.10.3.102","MPTCP","7212","46102  >  5201 [PSH, ACK] Seq=38 Ack=1 Win=64256 Len=7120 TSval=2009618173 TSecr=1040744829","","","","",""
"39","1.397695810","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  46102 [ACK] Seq=1 Ack=7158 Win=60672 Len=0 TSval=1040744871 TSecr=2009618173","0.000026684","","","",""
"40","1.397733299","10.10.3.105","10.10.3.102","MPTCP","7212","46102  >  5201 [PSH, ACK] Seq=7158 Ack=1 Win=64256 Len=7120 TSval=2009618173 TSecr=1040744829","","","","",""
"41","1.397746393","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  46102 [ACK] Seq=1 Ack=14278 Win=55680 Len=0 TSval=1040744871 TSecr=2009618173","0.000013094","","","",""
"42","1.397963986","10.10.3.105","10.10.3.102","MPTCP","10060","46102  >  5201 [PSH, ACK] Seq=14278 Ack=1 Win=64256 Len=9968 TSval=2009618173 TSecr=1040744871","","","","",""
"43","1.397998320","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  46102 [ACK] Seq=1 Ack=24246 Win=58752 Len=0 TSval=1040744872 TSecr=2009618173","0.000034334","","","",""
"44","1.398045372","10.10.3.105","10.10.3.102","MPTCP","7212","46102  >  5201 [PSH, ACK] Seq=24246 Ack=1 Win=64256 Len=7120 TSval=2009618173 TSecr=1040744871","","","","",""
"45","1.398058772","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  46102 [ACK] Seq=1 Ack=31366 Win=53760 Len=0 TSval=1040744872 TSecr=2009618173","0.000013400","","","",""
"46","1.398094907","10.10.3.105","10.10.3.102","MPTCP","11484","46102  >  5201 [PSH, ACK] Seq=31366 Ack=1 Win=64256 Len=11392 TSval=2009618173 TSecr=1040744871","","","","",""
"47","1.398108871","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  46102 [ACK] Seq=1 Ack=42758 Win=86912 Len=0 TSval=1040744872 TSecr=2009618173","0.000013964","","","",""
"48","1.398259749","10.10.3.105","10.10.3.102","MPTCP","18604","46102  >  5201 [PSH, ACK] Seq=42758 Ack=1 Win=64256 Len=18512 TSval=2009618173 TSecr=1040744872","","","","",""
"49","1.398276220","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  46102 [ACK] Seq=1 Ack=61270 Win=123904 Len=0 TSval=1040744872 TSecr=2009618173","0.000016471","","","",""
"50","1.398284032","10.10.3.105","10.10.3.102","MPTCP","1516","46102  >  5201 [ACK] Seq=61270 Ack=1 Win=64256 Len=1424 TSval=2009618173 TSecr=1040744872","","","","",""
"51","1.398292989","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  46102 [ACK] Seq=1 Ack=62694 Win=126848 Len=0 TSval=1040744872 TSecr=2009618173","0.000008957","","","",""
"52","1.398525850","10.10.3.105","10.10.3.102","MPTCP","28572","46102  >  5201 [PSH, ACK] Seq=62694 Ack=1 Win=64256 Len=28480 TSval=2009618173 TSecr=1040744872","","","","",""
"53","1.398544459","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  46102 [ACK] Seq=1 Ack=91174 Win=183808 Len=0 TSval=1040744872 TSecr=2009618173","0.000018609","","","",""
"54","1.398643878","10.10.3.105","10.10.3.102","MPTCP","14332","46102  >  5201 [PSH, ACK] Seq=91174 Ack=1 Win=64256 Len=14240 TSval=2009618174 TSecr=1040744872","","","","",""
