No.,Time,Source,Destination,Protocol,Length,Info,RTT,Lost Segement,Duplicate,Retransmission,IDK,Subflow,SubflowNo,packetloss,Time_Diff,Bandwidth,Jitter
1984,62.106883295,10.10.3.105,10.10.3.102,MPTCP,80,55084  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2010519765 TSecr=0 WS=128,0.088057339,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0,0.0,0.0
1985,62.194940634,10.10.3.102,10.10.3.105,MPTCP,88,"5201  >  55084 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1041646465 TSecr=2010519765 WS=128",0.088057339,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.08805733899999524,999.3488447340517,0.0
1986,62.195521346,10.10.3.105,10.10.3.102,MPTCP,88,55084  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2010519853 TSecr=1041646465,0.000580712,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0005807120000014265,151538.11183475427,0.016834884715416824
1987,62.195521999,10.10.3.105,10.10.3.102,MPTCP,129,"55084  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2010519853 TSecr=1041646465",0.0443190255,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,6.530000007387571e-07,197549770.06747124,0.021869156749999997
1989,62.286128704,10.10.3.102,10.10.3.105,MPTCP,97,"5201  >  55084 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1041646554 TSecr=2010519853",0.090606705,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.09060670499999901,1070.5609480004935,0.02047014522665629
1990,62.286717125,10.10.3.105,10.10.3.102,MPTCP,80,55084  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2010519944 TSecr=1041646554,0.000588421,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0005884210000033363,135957.0783495939,0.014771989115179124
1991,62.286758637,10.10.3.105,10.10.3.102,MPTCP,100,"55084  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2010519945 TSecr=1041646554",0.023091064749999998,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,4.151199999569144e-05,2408941.992926842,0.012443230550810614
1992,62.287041644,10.10.3.62,10.10.3.102,MPTCP,88,44537  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3347687149 TSecr=0 WS=128,0.120229089,0,0,0,0,10.10.3.62_10.10.3.102,2.0,0.0,0.0002830070000001683,310946.372351029,0.0
1993,62.288174145,10.10.3.102,10.10.3.105,MPTCP,84,5201  >  55084 [ACK] Seq=2 Ack=38 Win=65152 Len=0 TSval=1041646554 TSecr=2010519853,0.023092992,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.0011325010000007296,74172.11993627014,0.01093265123824767
1994,62.288785984,10.10.3.105,10.10.3.102,MPTCP,76,55084  >  5201 [ACK] Seq=42 Ack=2 Win=64256 Len=0 TSval=2010519946 TSecr=1041646554,0.000588421,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0006118390000011686,124215.68419119218,0.011251321985040152
1995,62.289605184,10.10.3.105,10.10.3.59,MPTCP,88,36471  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=939775278 TSecr=0 WS=128,3.0194e-05,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.0008192000000022404,107421.87499970623,0.0
1996,62.289635378,10.10.3.59,10.10.3.105,MPTCP,92,"5201  >  36471 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1401755026 TSecr=939775278 WS=128",3.0194e-05,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,3.0193999997152332e-05,3046962.9730634145,0.0
1997,62.295130348,10.10.3.105,10.10.3.59,MPTCP,92,36471  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=939775280 TSecr=1401755026,0.00549497,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.005494970000000876,16742.584581896775,0.0010516966315536687
