"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"6535","155.465369423","10.10.3.105","10.10.3.102","MPTCP","80","36420  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2009886732 TSecr=0 WS=128","","","","",""
"6536","155.572665456","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  36420 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1041013431 TSecr=2009886732 WS=128","0.107296033","","","",""
"6537","155.573249864","10.10.3.105","10.10.3.102","MPTCP","88","36420  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2009886840 TSecr=1041013431","0.000584408","","","",""
"6538","155.573250448","10.10.3.105","10.10.3.102","MPTCP","129","36420  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2009886840 TSecr=1041013431","","","","",""
"6539","155.682376471","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  36420 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1041013539 TSecr=2009886840","0.109126023","","","",""
"6540","155.682973958","10.10.3.105","10.10.3.102","MPTCP","80","36420  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2009886950 TSecr=1041013539","0.000597487","","","",""
"6541","155.683038484","10.10.3.105","10.10.3.102","MPTCP","100","36420  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2009886950 TSecr=1041013539","","","","",""
"6542","155.686582191","10.10.3.62","10.10.3.102","MPTCP","88","52079  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3347054155 TSecr=0 WS=128","","","","",""
"6543","155.688663980","10.10.3.102","10.10.3.105","MPTCP","84","[TCP Keep-Alive] 5201  >  36420 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041013539 TSecr=2009886840","","","","","â\234\223"
"6544","155.689224917","10.10.3.105","10.10.3.102","MPTCP","80","[TCP Keep-Alive ACK] 36420  >  5201 [ACK] Seq=42 Ack=2 Win=64256 Len=0 TSval=2009886956 TSecr=1041013539","","","","","â\234\223"
"6545","155.689960059","10.10.3.102","10.10.3.105","MPTCP","80","[TCP Keep-Alive] 5201  >  36420 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041013539 TSecr=2009886840","","","","","â\234\223"
"6546","155.800290972","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  52079 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2493831934 TSecr=3347054155 WS=128","0.113708781","","","",""
"6547","155.809380977","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  36420 [ACK] Seq=2 Ack=42 Win=65152 Len=0 TSval=1041013693 TSecr=2009886950","0.126342493","","","",""
"6548","155.809584446","10.10.3.105","10.10.3.102","MPTCP","196","36420  >  5201 [PSH, ACK] Seq=42 Ack=2 Win=64256 Len=100 TSval=2009887076 TSecr=1041013693","","","","",""
"6551","155.892880152","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  36420 [ACK] Seq=2 Ack=142 Win=65152 Len=0 TSval=1041013775 TSecr=2009887076","0.083295706","","","",""
"6553","155.927399127","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  36420 [PSH, ACK] Seq=2 Ack=142 Win=65152 Len=1 TSval=1041013776 TSecr=2009887076","","","","",""
"6554","155.927777821","10.10.3.105","10.10.3.102","MPTCP","80","36424  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2009887194 TSecr=0 WS=128","","","","",""
"6556","155.970136455","10.10.3.105","10.10.3.102","MPTCP","80","36420  >  5201 [ACK] Seq=142 Ack=3 Win=64256 Len=0 TSval=2009887237 TSecr=1041013776","0.042737328","","","",""
"6557","156.032701694","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  36424 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1041013894 TSecr=2009887194 WS=128","0.104923873","","","",""
"6558","156.033277338","10.10.3.105","10.10.3.102","MPTCP","88","36424  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2009887300 TSecr=1041013894","0.000575644","","","",""
"6559","156.033277993","10.10.3.105","10.10.3.102","MPTCP","129","36424  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2009887300 TSecr=1041013894","","","","",""
"6566","156.115822986","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  36420 [PSH, ACK] Seq=3 Ack=142 Win=65152 Len=1 TSval=1041014002 TSecr=2009887237","","","","",""
"6567","156.115981252","10.10.3.105","10.10.3.102","MPTCP","80","36420  >  5201 [ACK] Seq=142 Ack=4 Win=64256 Len=0 TSval=2009887383 TSecr=1041014002","0.000158266","","","",""
"6568","156.117400586","10.10.3.102","10.10.3.105","MPTCP","84","5201  >  36424 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041013999 TSecr=2009887300","0.084122593","","","",""
"6569","156.117563376","10.10.3.105","10.10.3.102","MPTCP","76","36424  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=0 TSval=2009887384 TSecr=1041013999","","","","",""
"6571","156.119932580","10.10.3.62","10.10.3.102","MPTCP","88","50983  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3347054589 TSecr=0 WS=128","","","","",""
"6572","156.120182478","10.10.3.105","10.10.3.59","MPTCP","88","42571  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=939142716 TSecr=0 WS=128","","","","",""
"6573","156.120217023","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  42571 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1401122464 TSecr=939142716 WS=128","0.000034545","","","",""
"6576","156.123284570","10.10.3.105","10.10.3.59","MPTCP","92","42571  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=939142722 TSecr=1401122464","0.003067547","","","",""
"6577","156.123362900","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Window Update] 5201  >  42571 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1401122467 TSecr=939142722","","","","","â\234\223"
"6578","156.142446027","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  36424 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041013999 TSecr=2009887300","","","","",""
"6586","156.213618564","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  36420 [PSH, ACK] Seq=4 Ack=142 Win=65152 Len=1 TSval=1041014082 TSecr=2009887383","","","","",""
"6587","156.213723540","10.10.3.105","10.10.3.102","MPTCP","80","36420  >  5201 [ACK] Seq=142 Ack=5 Win=64256 Len=0 TSval=2009887481 TSecr=1041014082","0.000104976","","","",""
"6588","156.213797045","10.10.3.105","10.10.3.102","MPTCP","2940","36424  >  5201 [PSH, ACK] Seq=38 Ack=1 Win=64256 Len=2848 TSval=2009887481 TSecr=1041013999","","","","",""
"6589","156.213862151","10.10.3.105","10.10.3.102","MPTCP","2940","36424  >  5201 [PSH, ACK] Seq=2886 Ack=1 Win=64256 Len=2848 TSval=2009887481 TSecr=1041013999","","","","",""
"6590","156.213921562","10.10.3.105","10.10.3.102","MPTCP","2940","36424  >  5201 [PSH, ACK] Seq=5734 Ack=1 Win=64256 Len=2848 TSval=2009887481 TSecr=1041013999","","","","",""
