"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"1579","37.163066031","10.10.3.105","10.10.3.102","MPTCP","80","34878  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2008056026 TSecr=0 WS=128","","","","",""
"1580","37.163111975","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  34878 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039182722 TSecr=2008056026 WS=128","0.000045944","","","",""
"1581","37.163341856","10.10.3.105","10.10.3.102","MPTCP","88","34878  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2008056026 TSecr=1039182722","0.000229881","","","",""
"1582","37.163410039","10.10.3.102","10.10.3.105","MPTCP","84","[TCP Window Update] 5201  >  34878 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1039182723 TSecr=2008056026","","","","","â\234\223"
"1583","37.163420747","10.10.3.105","10.10.3.102","MPTCP","129","34878  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2008056026 TSecr=1039182722","","","","",""
"1584","37.163427698","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  34878 [ACK] Seq=1 Ack=38 Win=65280 Len=0 TSval=1039182723 TSecr=2008056026","0.000006951","","","",""
"1585","37.163478029","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  34878 [PSH, ACK] Seq=1 Ack=38 Win=65280 Len=1 TSval=1039182723 TSecr=2008056026","","","","",""
"1586","37.163566986","10.10.3.105","10.10.3.102","MPTCP","76","34878  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=0 TSval=2008056026 TSecr=1039182723","","","","",""
"1587","37.163567117","10.10.3.105","10.10.3.102","MPTCP","80","34878  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2008056026 TSecr=1039182723","0.000089088","","","",""
"1588","37.163726299","10.10.3.105","10.10.3.102","MPTCP","100","34878  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2008056026 TSecr=1039182723","","","","",""
"1589","37.167166878","10.10.3.105","10.10.3.59","MPTCP","88","55973  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=937311358 TSecr=0 WS=128","","","","",""
"1590","37.167185907","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  55973 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1399291104 TSecr=937311358 WS=128","0.000019029","","","",""
"1591","37.171414121","10.10.3.105","10.10.3.59","MPTCP","92","55973  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=937311363 TSecr=1399291104","0.004228214","","","",""
"1592","37.171468765","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Window Update] 5201  >  55973 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1399291109 TSecr=937311363","","","","","â\234\223"
"1593","37.197266862","10.10.3.62","10.10.3.102","MPTCP","88","42423  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3345223231 TSecr=0 WS=128","","","","",""
"1594","37.197305332","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  42423 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2492001038 TSecr=3345223231 WS=128","0.000038470","","","",""
"1595","37.199421440","10.10.3.62","10.10.3.102","MPTCP","92","42423  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3345223266 TSecr=2492001038","0.002116108","","","",""
"1596","37.199488961","10.10.3.102","10.10.3.62","MPTCP","80","[TCP Window Update] 5201  >  42423 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=2492001040 TSecr=3345223266","","","","","â\234\223"
"1597","37.205479278","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  34878 [ACK] Seq=2 Ack=42 Win=65280 Len=0 TSval=1039182765 TSecr=2008056026","0.041752979","","","",""
"1598","37.205790450","10.10.3.105","10.10.3.102","MPTCP","196","34878  >  5201 [PSH, ACK] Seq=42 Ack=2 Win=64256 Len=100 TSval=2008056068 TSecr=1039182765","","","","",""
"1599","37.205837963","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  34878 [ACK] Seq=2 Ack=142 Win=65280 Len=0 TSval=1039182765 TSecr=2008056068","0.000047513","","","",""
"1600","37.205949463","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  34878 [PSH, ACK] Seq=2 Ack=142 Win=65280 Len=1 TSval=1039182765 TSecr=2008056068","","","","",""
"1601","37.206154995","10.10.3.105","10.10.3.102","MPTCP","80","34880  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2008056069 TSecr=0 WS=128","","","","",""
"1602","37.206189991","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  34880 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039182765 TSecr=2008056069 WS=128","0.000034996","","","",""
"1603","37.206243178","10.10.3.105","10.10.3.102","MPTCP","88","34880  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2008056069 TSecr=1039182765","0.000053187","","","",""
"1604","37.206329186","10.10.3.105","10.10.3.102","MPTCP","129","34880  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2008056069 TSecr=1039182765","","","","",""
"1605","37.206345995","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  34880 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1039182766 TSecr=2008056069","0.000016809","","","",""
"1607","37.206622903","10.10.3.102","10.10.3.105","MPTCP","84","5201  >  34880 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1039182766 TSecr=2008056069","","","","",""
"1608","37.206718500","10.10.3.105","10.10.3.102","MPTCP","76","34880  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=0 TSval=2008056069 TSecr=1039182766","","","","",""
"1609","37.207356153","10.10.3.62","10.10.3.102","MPTCP","88","39405  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3345223274 TSecr=0 WS=128","","","","",""
"1610","37.207381594","10.10.3.105","10.10.3.59","MPTCP","88","47495  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=937311401 TSecr=0 WS=128","","","","",""
"1611","37.207397565","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  39405 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2492001048 TSecr=3345223274 WS=128","0.000041412","","","",""
"1612","37.207418874","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  47495 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1399291145 TSecr=937311401 WS=128","0.000037280","","","",""
