"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"209","9.105086285","10.10.3.105","10.10.3.102","MPTCP","80","60436  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2007702816 TSecr=0 WS=128","","","","",""
"210","9.105112203","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  60436 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1038829516 TSecr=2007702816 WS=128","0.000025918","","","",""
"211","9.105196690","10.10.3.105","10.10.3.102","MPTCP","88","60436  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2007702816 TSecr=1038829516","0.000084487","","","",""
"212","9.105259354","10.10.3.105","10.10.3.102","MPTCP","129","60436  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2007702816 TSecr=1038829516","","","","",""
"213","9.105269200","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60436 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1038829516 TSecr=2007702816","0.000009846","","","",""
"214","9.105315458","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  60436 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1038829516 TSecr=2007702816","","","","",""
"215","9.105369060","10.10.3.105","10.10.3.102","MPTCP","80","60436  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2007702816 TSecr=1038829516","0.000053602","","","",""
"216","9.105391344","10.10.3.102","10.10.3.105","MPTCP","84","[TCP Dup ACK 213#1] 5201  >  60436 [ACK] Seq=2 Ack=38 Win=65152 Len=0 TSval=1038829517 TSecr=2007702816","","","â\234\223","","â\234\223"
"217","9.105440805","10.10.3.105","10.10.3.102","MPTCP","76","60436  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2007702816 TSecr=1038829517","","","","",""
"218","9.105594954","10.10.3.105","10.10.3.102","MPTCP","100","60436  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2007702817 TSecr=1038829517","","","","",""
"219","9.106202470","10.10.3.62","10.10.3.102","MPTCP","88","44763  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3344870021 TSecr=0 WS=128","","","","",""
"220","9.106218790","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  44763 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2491647798 TSecr=3344870021 WS=128","0.000016320","","","",""
"221","9.106763441","10.10.3.105","10.10.3.59","MPTCP","88","33955  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=936958148 TSecr=0 WS=128","","","","",""
"222","9.106780910","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  33955 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1398937896 TSecr=936958148 WS=128","0.000017469","","","",""
"223","9.109161608","10.10.3.62","10.10.3.102","MPTCP","92","44763  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3344870024 TSecr=2491647798","0.002942818","","","",""
"224","9.109205064","10.10.3.102","10.10.3.62","MPTCP","80","[TCP Window Update] 5201  >  44763 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=2491647801 TSecr=3344870024","","","","","â\234\223"
"226","9.112179744","10.10.3.105","10.10.3.59","MPTCP","92","33955  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=936958152 TSecr=1398937896","0.005398834","","","",""
"227","9.112223530","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Window Update] 5201  >  33955 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1398937901 TSecr=936958152","","","","","â\234\223"
"228","9.149595512","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60436 [ACK] Seq=2 Ack=42 Win=65280 Len=0 TSval=1038829561 TSecr=2007702817","0.044000558","","","",""
"229","9.149936726","10.10.3.105","10.10.3.102","MPTCP","196","60436  >  5201 [PSH, ACK] Seq=42 Ack=2 Win=64256 Len=100 TSval=2007702861 TSecr=1038829561","","","","",""
"230","9.149961022","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60436 [ACK] Seq=2 Ack=142 Win=65280 Len=0 TSval=1038829561 TSecr=2007702861","0.000024296","","","",""
"231","9.150030538","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  60436 [PSH, ACK] Seq=2 Ack=142 Win=65280 Len=1 TSval=1038829561 TSecr=2007702861","","","","",""
"232","9.150228416","10.10.3.105","10.10.3.102","MPTCP","80","60442  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2007702861 TSecr=0 WS=128","","","","",""
"233","9.150277824","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  60442 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1038829561 TSecr=2007702861 WS=128","0.000049408","","","",""
"235","9.150462075","10.10.3.105","10.10.3.102","MPTCP","88","60442  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2007702861 TSecr=1038829561","0.000184251","","","",""
"236","9.150527829","10.10.3.102","10.10.3.105","MPTCP","84","[TCP Window Update] 5201  >  60442 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1038829562 TSecr=2007702861","","","","","â\234\223"
"237","9.150537891","10.10.3.105","10.10.3.102","MPTCP","129","60442  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2007702862 TSecr=1038829561","","","","",""
"238","9.150545094","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=38 Win=65280 Len=0 TSval=1038829562 TSecr=2007702862","0.000007203","","","",""
"239","9.150691191","10.10.3.105","10.10.3.102","MPTCP","76","60442  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=0 TSval=2007702862 TSecr=1038829562","","","","",""
