"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"2171","75.183090900","10.10.3.105","10.10.3.102","MPTCP","80","47962  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2007832169 TSecr=0 WS=128","","","","",""
"2172","75.183147378","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  47962 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1038958868 TSecr=2007832169 WS=128","0.000056478","","","",""
"2173","75.183377519","10.10.3.105","10.10.3.102","MPTCP","88","47962  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2007832169 TSecr=1038958868","0.000230141","","","",""
"2174","75.183377881","10.10.3.105","10.10.3.102","MPTCP","129","47962  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2007832169 TSecr=1038958868","","","","",""
"2175","75.183502839","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  47962 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1038958868 TSecr=2007832169","0.000124958","","","",""
"2176","75.183626076","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  47962 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1038958868 TSecr=2007832169","","","","",""
"2177","75.183677979","10.10.3.105","10.10.3.102","MPTCP","80","47962  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2007832170 TSecr=1038958868","0.000051903","","","",""
"2178","75.183740145","10.10.3.102","10.10.3.105","MPTCP","84","[TCP Dup ACK 2175#1] 5201  >  47962 [ACK] Seq=2 Ack=38 Win=65152 Len=0 TSval=1038958868 TSecr=2007832170","","","â\234\223","","â\234\223"
"2179","75.183800601","10.10.3.105","10.10.3.102","MPTCP","100","47962  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2007832170 TSecr=1038958868","","","","",""
"2180","75.183847474","10.10.3.105","10.10.3.102","MPTCP","76","[TCP Dup ACK 2177#1] 47962  >  5201 [ACK] Seq=42 Ack=2 Win=64256 Len=0 TSval=2007832170 TSecr=1038958868","","","â\234\223","","â\234\223"
