Time,No.,Source,Destination,Protocol,Length,Info,RTT,Lost Segement,Duplicate,Retransmission,IDK,Subflow,SubflowNo,packetloss,Time_Diff,Bandwidth,Jitter,Subflow1_RTT,Subflow1_packetloss,Subflow1_Bandwidth,Subflow1_Jitter,Subflow2_RTT,Subflow2_packetloss,Subflow2_Bandwidth,Subflow2_Jitter,Subflow3_RTT,Subflow3_packetloss,Subflow3_Bandwidth,Subflow3_Jitter
1970-01-01 00:01:02.106883295,1984,10.10.3.105,10.10.3.102,MPTCP,80,55084  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2010519765 TSecr=0 WS=128,0.088057339,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0,0.0,0.0,0.088057339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:02.194940634,1985,10.10.3.102,10.10.3.105,MPTCP,88,"5201  >  55084 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1041646465 TSecr=2010519765 WS=128",0.088057339,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.0880573389999952,999.3488447340516,0.0,0.088057339,0.0,999.3488447340516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:02.195521346,1986,10.10.3.105,10.10.3.102,MPTCP,88,55084  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2010519853 TSecr=1041646465,0.000580712,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0005807120000014,151538.1118347543,0.0168348847154168,0.000580712,0.0,151538.1118347543,0.0168348847154168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:02.195521999,1987,10.10.3.105,10.10.3.102,MPTCP,129,"55084  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2010519853 TSecr=1041646465",0.0443190255,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,6.530000007387571e-07,197549770.06747124,0.0218691567499999,0.0443190255,0.0,197549770.06747124,0.0218691567499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:02.286128704,1989,10.10.3.102,10.10.3.105,MPTCP,97,"5201  >  55084 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1041646554 TSecr=2010519853",0.090606705,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.090606704999999,1070.5609480004937,0.0204701452266562,0.090606705,0.0,1070.5609480004937,0.0204701452266562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:02.286717125,1990,10.10.3.105,10.10.3.102,MPTCP,80,55084  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2010519944 TSecr=1041646554,0.000588421,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0005884210000033,135957.0783495939,0.0147719891151791,0.000588421,0.0,135957.0783495939,0.0147719891151791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:02.286758637,1991,10.10.3.105,10.10.3.102,MPTCP,100,"55084  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2010519945 TSecr=1041646554",0.0230910647499999,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,4.151199999569144e-05,2408941.992926842,0.0124432305508106,0.0230910647499999,0.0,2408941.992926842,0.0124432305508106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:02.287041644,1992,10.10.3.62,10.10.3.102,MPTCP,88,44537  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3347687149 TSecr=0 WS=128,0.120229089,0,0,0,0,10.10.3.62_10.10.3.102,2.0,0.0,0.0002830070000001,310946.372351029,0.0,0.0230910647499999,0.0,2408941.992926842,0.0124432305508106,0.120229089,0.0,310946.372351029,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:02.288174145,1993,10.10.3.102,10.10.3.105,MPTCP,84,5201  >  55084 [ACK] Seq=2 Ack=38 Win=65152 Len=0 TSval=1041646554 TSecr=2010519853,0.023092992,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.0011325010000007,74172.11993627014,0.0109326512382476,0.023092992,0.0,74172.11993627014,0.0109326512382476,0.120229089,0.0,310946.372351029,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:02.288785984,1994,10.10.3.105,10.10.3.102,MPTCP,76,55084  >  5201 [ACK] Seq=42 Ack=2 Win=64256 Len=0 TSval=2010519946 TSecr=1041646554,0.000588421,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0006118390000011,124215.68419119218,0.0112513219850401,0.000588421,0.0,124215.68419119218,0.0112513219850401,0.120229089,0.0,310946.372351029,0.0,0.0,0.0,0.0,0.0
1970-01-01 00:01:02.289605184,1995,10.10.3.105,10.10.3.59,MPTCP,88,36471  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=939775278 TSecr=0 WS=128,3.0194e-05,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.0008192000000022,107421.87499970624,0.0,0.000588421,0.0,124215.68419119218,0.0112513219850401,0.120229089,0.0,310946.372351029,0.0,3.0194e-05,0.0,107421.87499970624,0.0
1970-01-01 00:01:02.289635378,1996,10.10.3.59,10.10.3.105,MPTCP,92,"5201  >  36471 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1401755026 TSecr=939775278 WS=128",3.0194e-05,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,3.0193999997152332e-05,3046962.9730634145,0.0,0.000588421,0.0,124215.68419119218,0.0112513219850401,0.120229089,0.0,310946.372351029,0.0,3.0194e-05,0.0,3046962.9730634145,0.0
1970-01-01 00:01:02.295130348,1997,10.10.3.105,10.10.3.59,MPTCP,92,36471  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=939775280 TSecr=1401755026,0.00549497,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.0054949700000008,16742.584581896775,0.0010516966315536,0.000588421,0.0,124215.68419119218,0.0112513219850401,0.120229089,0.0,310946.372351029,0.0,0.00549497,0.0,16742.584581896775,0.0010516966315536
1970-01-01 00:01:02.295178413,1998,10.10.3.59,10.10.3.105,MPTCP,80,[TCP Window Update] 5201  >  36471 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1401755032 TSecr=939775280,0.002762582,0,0,0,1,10.10.3.59_10.10.3.105,3.0,0.0,4.8065000001429325e-05,1664412.7743185482,0.001366194,0.000588421,0.0,124215.68419119218,0.0112513219850401,0.120229089,0.0,310946.372351029,0.0,0.002762582,0.0,1664412.7743185482,0.001366194
1970-01-01 00:01:02.295384037,1999,10.10.3.105,10.10.3.59,MPTCP,92,[TCP Dup ACK 1997#1] 36471  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=939775285 TSecr=1401755026,0.004128776,0,1,0,1,10.10.3.105_10.10.3.59,3.0,0.0,0.0002056239999959,447418.5892786399,0.0017190897510767,0.000588421,0.0,124215.68419119218,0.0112513219850401,0.120229089,0.0,310946.372351029,0.0,0.004128776,0.0,447418.5892786399,0.0017190897510767
1970-01-01 00:01:02.295391290,2000,10.10.3.59,10.10.3.105,MPTCP,80,[TCP Dup ACK 1996#1] 5201  >  36471 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1401755032 TSecr=939775285,0.00549497,0,1,0,1,10.10.3.59_10.10.3.105,3.0,0.0,7.252999999707299e-06,11029918.654795043,0.0015938929999999,0.000588421,0.0,124215.68419119218,0.0112513219850401,0.120229089,0.0,310946.372351029,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999
1970-01-01 00:01:02.303185936,2001,10.10.3.102,10.10.3.105,MPTCP,80,[TCP Keep-Alive] 5201  >  55084 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041646554 TSecr=2010519853,0.000588421,0,0,0,1,10.10.3.102_10.10.3.105,1.0,0.0,0.0077946460000006,10263.455197323008,0.0129924637995172,0.000588421,0.0,10263.455197323008,0.0129924637995172,0.120229089,0.0,310946.372351029,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999
1970-01-01 00:01:02.303766830,2002,10.10.3.105,10.10.3.102,MPTCP,80,[TCP Keep-Alive ACK] 55084  >  5201 [ACK] Seq=42 Ack=2 Win=64256 Len=0 TSval=2010519961 TSecr=1041646554,0.000588421,0,0,0,1,10.10.3.105_10.10.3.102,1.0,0.0,0.0005808940000022,137718.75763854812,0.0112522854999999,0.000588421,0.0,137718.75763854812,0.0112522854999999,0.120229089,0.0,310946.372351029,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999
1970-01-01 00:01:02.407270733,2004,10.10.3.102,10.10.3.62,MPTCP,92,"5201  >  44537 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2494464927 TSecr=3347687149 WS=128",0.120229089,0,0,0,0,10.10.3.102_10.10.3.62,2.0,0.0,0.1035039029999964,888.8553700240961,0.0,0.000588421,0.0,137718.75763854812,0.0112522854999999,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999
1970-01-01 00:01:02.426550086,2005,10.10.3.102,10.10.3.105,MPTCP,80,5201  >  55084 [ACK] Seq=2 Ack=42 Win=65280 Len=0 TSval=1041646689 TSecr=2010519945,0.139791449,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.0192793530000017,4149.516843225645,0.0174003784999999,0.139791449,0.0,4149.516843225645,0.0174003784999999,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999
1970-01-01 00:01:02.427083508,2006,10.10.3.105,10.10.3.102,MPTCP,196,"55084  >  5201 [PSH, ACK] Seq=42 Ack=2 Win=64256 Len=100 TSval=2010520085 TSecr=1041646689",0.070189935,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0005334220000037,367438.9132781013,0.0333191881222411,0.070189935,0.0,367438.9132781013,0.0333191881222411,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999
1970-01-01 00:01:02.520079838,2007,10.10.3.102,10.10.3.105,MPTCP,80,5201  >  55084 [ACK] Seq=2 Ack=142 Win=65280 Len=0 TSval=1041646786 TSecr=2010520085,0.09299633,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.0929963299999983,860.2490012240426,0.0405657094550134,0.09299633,0.0,860.2490012240426,0.0405657094550134,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999
1970-01-01 00:01:02.530975349,2008,10.10.3.102,10.10.3.105,MPTCP,97,"5201  >  55084 [PSH, ACK] Seq=2 Ack=142 Win=65280 Len=1 TSval=1041646786 TSecr=2010520085",0.1163938895,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.010895511000001,8902.749031228584,0.0345540527335488,0.1163938895,0.0,8902.749031228584,0.0345540527335488,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999
1970-01-01 00:01:02.531634495,2009,10.10.3.105,10.10.3.102,MPTCP,80,55092  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2010520189 TSecr=0 WS=128,0.10469510975,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0006591459999967,121369.16555724767,0.0197055608956545,0.10469510975,0.0,121369.16555724767,0.0197055608956545,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999
1970-01-01 00:01:02.574871494,2012,10.10.3.105,10.10.3.102,MPTCP,80,55084  >  5201 [ACK] Seq=142 Ack=3 Win=64256 Len=0 TSval=2010520233 TSecr=1041646786,0.043896145,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0432369990000012,1850.2671751107828,0.015291325287781,0.043896145,0.0,1850.2671751107828,0.015291325287781,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999
1970-01-01 00:01:02.624492176,2014,10.10.3.102,10.10.3.105,MPTCP,88,"5201  >  55092 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1041646890 TSecr=2010520189 WS=128",0.092857681,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.0496206819999969,1773.4540609499377,0.0178781950041058,0.092857681,0.0,1773.4540609499377,0.0178781950041058,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999
