"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate","Retransmission","IDK"
"1984","62.106883295","10.10.3.105","10.10.3.102","MPTCP","80","55084  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2010519765 TSecr=0 WS=128","","","","",""
"1985","62.194940634","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  55084 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1041646465 TSecr=2010519765 WS=128","0.088057339","","","",""
"1986","62.195521346","10.10.3.105","10.10.3.102","MPTCP","88","55084  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2010519853 TSecr=1041646465","0.000580712","","","",""
"1987","62.195521999","10.10.3.105","10.10.3.102","MPTCP","129","55084  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2010519853 TSecr=1041646465","","","","",""
"1989","62.286128704","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  55084 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1041646554 TSecr=2010519853","0.090606705","","","",""
"1990","62.286717125","10.10.3.105","10.10.3.102","MPTCP","80","55084  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2010519944 TSecr=1041646554","0.000588421","","","",""
"1991","62.286758637","10.10.3.105","10.10.3.102","MPTCP","100","55084  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2010519945 TSecr=1041646554","","","","",""
"1992","62.287041644","10.10.3.62","10.10.3.102","MPTCP","88","44537  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3347687149 TSecr=0 WS=128","","","","",""
"1993","62.288174145","10.10.3.102","10.10.3.105","MPTCP","84","5201  >  55084 [ACK] Seq=2 Ack=38 Win=65152 Len=0 TSval=1041646554 TSecr=2010519853","","","","",""
"1994","62.288785984","10.10.3.105","10.10.3.102","MPTCP","76","55084  >  5201 [ACK] Seq=42 Ack=2 Win=64256 Len=0 TSval=2010519946 TSecr=1041646554","","","","",""
